[Angel]
(31, 64, 40)
(31, 81, 53)
(31, 82, 42)
(31, 138, 74)
(31, 158, 197)
(31, 181, 125)
(31, 186, 132)
(32, 14, 152)
(32, 19, 9)
(32, 79, 100)
(32, 134, 59)
(32, 179, 72)
(32, 199, 45)
(33, 16, 64)
(33, 82, 74)
(33, 144, 94)
(33, 153, 30)
(34, 13, 78)
(34, 42, 31)
(34, 47, 137)
(34, 51, 55)
(34, 68, 58)
(34, 101, 148)
(35, 6, 140)
(35, 102, 129)
(35, 108, 153)
(36, 5, 178)
(36, 76, 86)
(36, 93, 4)
(36, 139, 132)
(36, 154, 77)
(36, 197, 3)
(37, 19, 88)
(37, 119, 107)
(37, 123, 156)
(37, 132, 21)
(37, 150, 99)
(38, 5, 132)
(38, 67, 149)
(38, 81, 16)
(38, 84, 11)
(38, 120, 2)
(38, 156, 40)
(38, 182, 139)
(39, 24, 38)
(39, 73, 89)
(39, 129, 133)
(39, 132, 123)
(39, 148, 18)
(39, 164, 95)
(39, 166, 107)
(39, 183, 85)
(39, 189, 177)
(39, 191, 89)
(40, 22, 176)
(40, 74, 32)
(40, 156, 45)
(40, 163, 124)
(41, 1, 119)
(41, 20, 158)
(41, 55, 197)
(41, 59, 187)
(41, 63, 66)
(42, 28, 160)
(42, 63, 152)
(42, 66, 69)
(42, 92, 96)
(43, 26, 54)
(43, 81, 38)
(44, 45, 82)
(44, 62, 170)
(44, 67, 85)
(44, 94, 146)
(44, 114, 178)
(44, 120, 118)
(44, 182, 14)
(45, 4, 12)
(45, 98, 132)
(45, 105, 14)
(46, 0, 192)
(46, 12, 129)
(46, 73, 94)
(46, 83, 62)
(46, 93, 92)
(46, 98, 166)
(46, 166, 107)
(46, 172, 9)
(47, 23, 137)
(47, 80, 67)
(47, 87, 127)
(47, 89, 164)
(47, 90, 76)
(47, 127, 95)
(47, 166, 53)
(47, 172, 149)
(47, 187, 132)
(48, 21, 51)
(48, 123, 193)
(48, 132, 98)
(48, 151, 144)
(48, 198, 101)
(49, 53, 46)
(49, 74, 109)
(49, 90, 139)
(49, 167, 29)
(49, 183, 85)
(50, 19, 102)
(50, 63, 115)
(50, 112, 28)
(50, 120, 10)
(50, 128, 87)
(50, 142, 149)
(51, 16, 182)
(51, 34, 152)
(51, 46, 37)
(51, 49, 170)
(51, 88, 40)
(51, 105, 95)
(51, 130, 48)
(51, 154, 171)
(52, 0, 149)
(52, 30, 54)
(52, 40, 48)
(52, 42, 72)
(52, 114, 58)
(52, 143, 166)
(52, 144, 149)
(53, 12, 97)
(53, 70, 199)
(53, 79, 62)
(53, 156, 4)
(54, 14, 102)
(54, 19, 165)
